"Name","Total Time","Total Time (CPU)","Hits"
"Common-Cleaner","131,697 ms (-0%)","0.0 ms (0%)","1"
" jdk.internal.misc.InnocuousThread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   jdk.internal.ref.CleanerImpl.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.lang.ref.ReferenceQueue.remove ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"RMI Scheduler (0)","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  java.util.concurrent.ThreadPoolExecutor$Worker.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor.runWorker ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.getTask ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"      java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"       java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.locks.LockSupport.parkNanos ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"         jdk.internal.misc.Unsafe.park[native] ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
